month,season,species,carbon
Mar-16,Spring,o,25.61011
Mar-16,Spring,h,27.68888
Mar-16,Spring,d,26.75349833
May-16,Spring,d,29.747295
May-16,Spring,h,27.62018
May-16,Spring,o,28.07143333
Jun-16,Summer,d,28.190038
Jul-16,Summer,o,27.88611667
Jul-16,Summer,h,30.87053
Jul-16,Summer,d,29.35344667
Aug-16,Summer,o,28.70725667
Aug-16,Summer,h,33.11703
Aug-16,Summer,d,29.85079667
Oct-16,Autumn,h,33.86458
Oct-16,Autumn,d,28.99437333
Oct-16,Autumn,o,28.30046833
Jan-17,Winter,h,30.45862167
Jan-17,Winter,d,26.37679833
Jan-17,Winter,o,25.71754667
Feb-17,Winter,d,25.99148833
Feb-17,Winter,h,31.86293
