month,season,time,species,dw.export,fw.export,fw.export.avg,C.export
Mar-16,Spring,1,o,0,0,0,0
Mar-16,Spring,1,o,0.02192,0.156758045,0.155858267,0.005613736
Mar-16,Spring,1,o,0.208166667,1.574039067,1.480132113,0.053311712
Mar-16,Spring,1,o,0,0,0,0
Mar-16,Spring,1,o,0.217806667,1.788441838,1.548675621,0.055780527
Mar-16,Spring,1,h,1.377751111,8.580108481,8.580108481,0.381483852
Mar-16,Spring,1,h,0.778728889,4.849626534,4.849626534,0.215621308
Mar-16,Spring,1,h,1.108191111,6.901391604,6.901391604,0.306845707
Mar-16,Spring,1,h,0.278963667,1.588435774,1.737279329,0.077241915
Mar-16,Spring,1,h,0.973411111,6.062033166,6.062033166,0.269526634
Mar-16,Spring,1,h,0,0,0,0
Mar-16,Spring,1,h,1.302873333,8.113798236,8.113798236,0.360751034
Mar-16,Spring,1,h,1.377751111,8.580108481,8.580108481,0.381483852
Mar-16,Spring,1,h,1.377751111,8.580108481,8.580108481,0.381483852
Mar-16,Spring,1,h,0.868582222,5.409198824,5.409198824,0.240500689
Mar-16,Spring,1,o,0.150770495,1.072026826,1.072026826,0.03861249
Mar-16,Spring,1,o,0.201559495,1.341739764,1.43315299,0.051619608
Mar-16,Spring,1,o,0.100386796,0.762070498,0.713782483,0.025709169
Mar-16,Spring,1,d,0.19050862,1.22802247,1.248584726,0.05096772
Mar-16,Spring,1,d,0.079874513,0.503165141,0.523493881,0.021369227
Mar-16,Spring,1,d,0,0,0,0
Mar-16,Spring,1,d,0,0,0,0
Mar-16,Spring,1,d,0.030316292,0.191346986,0.198691582,0.008110669
Mar-16,Spring,1,d,0.278826722,1.966278051,1.827417501,0.074595902
Mar-16,Spring,1,d,0.15516504,1.080630586,1.01694453,0.041512076
Mar-16,Spring,1,d,0.382301956,2.504436548,2.505589421,0.102279147
Mar-16,Spring,1,h,1.375879167,9.005504725,8.568450728,0.380965531
Mar-16,Spring,1,h,1.403958333,8.743317065,8.743317065,0.388740338
Apr-16,Spring,2,h,0.183493896,1.048738733,1.39021432,0.050807405
Apr-16,Spring,2,h,0.5417359,4.20277977,4.104381794,0.150000603
Apr-16,Spring,2,h,1.433488092,10.43942776,10.86061017,0.396916798
Apr-16,Spring,2,h,0.800863306,6.436301449,6.067622198,0.22175008
Apr-16,Spring,2,h,0.009642708,0.075312875,0.073056549,0.002669958
Apr-16,Spring,2,o,0.03827974,0.301847752,0.307123192,0.009803484
Apr-16,Spring,2,o,0.021754942,0.174924054,0.174542649,0.005571465
Apr-16,Spring,2,o,0.200300924,1.528856246,1.607039626,0.051297287
Apr-16,Spring,2,o,0.237835058,1.888041002,1.908180726,0.06090982
Apr-16,Spring,2,h,0.01201869,0.098082226,0.091057824,0.003327841
Apr-16,Spring,2,h,0.110003911,0.933330516,0.833428336,0.030458851
Apr-16,Spring,2,h,0.473787671,3.518037361,3.589582103,0.1311865
Apr-16,Spring,2,h,1.160607227,8.994213407,8.793168723,0.321359142
Apr-16,Spring,2,h,1.031650868,8.446478246,7.816149973,0.285652571
Apr-16,Spring,2,o,0.091659156,0.769338928,0.735392992,0.023474011
Apr-16,Spring,2,o,0.11498112,0.97577869,0.922508056,0.029446791
Apr-16,Spring,2,o,0.224141506,1.812712226,1.798315628,0.057402886
Apr-16,Spring,2,o,0.252436267,1.884648398,2.025328071,0.064649206
Apr-16,Spring,2,o,0.004935978,0.041471893,0.039601975,0.001264109
Apr-16,Spring,2,d,0.036579923,0.259881243,0.244575502,0.009786409
Apr-16,Spring,2,d,0.242610355,1.571995782,1.622107007,0.064906757
Apr-16,Spring,2,d,0.017938207,0.133068573,0.1199359,0.004799098
Apr-16,Spring,2,d,0.038242705,0.255917834,0.25569296,0.010231261
Apr-16,Spring,2,d,0.087825737,0.605518536,0.587208008,0.023496457
Apr-16,Spring,2,d,0,0,0,0
Apr-16,Spring,2,d,0.032782819,0.196768259,0.219187843,0.008770551
Apr-16,Spring,2,d,0.099552236,0.687997972,0.665612066,0.026633706
Apr-16,Spring,2,d,0.159381813,1.058500593,1.065636113,0.042640211
May-16,Spring,3,d,0.779307344,5.992801984,5.778728966,0.231822855
May-16,Spring,3,d,0.117315767,0.839136764,0.869921253,0.034898267
May-16,Spring,3,d,0.031664784,0.233491564,0.234801078,0.009419417
May-16,Spring,3,h,0.0974237,0.722114039,0.762503517,0.026908601
May-16,Spring,3,h,0.143487833,1.084526583,1.123032458,0.039631598
May-16,Spring,3,h,0.092770883,0.741165311,0.726087436,0.025623485
May-16,Spring,3,h,0,0,0,0
May-16,Spring,3,o,0.061799289,0.53778697,0.522018137,0.017347946
May-16,Spring,3,o,0.145465698,1.220270242,1.228747675,0.040834306
May-16,Spring,3,o,0.293351843,2.343224399,2.477940847,0.082348067
May-16,Spring,3,o,0.231549371,1.959187737,1.955895824,0.064999227
May-16,Spring,3,h,0.030853633,0.269231042,0.24148132,0.008521829
May-16,Spring,3,h,0,0,0,0
May-16,Spring,3,h,0.07031262,0.547523524,0.550313938,0.019420472
May-16,Spring,3,h,0,0,0,0
May-16,Spring,3,d,0.412472188,3.049563773,3.058568611,0.122699319
May-16,Spring,3,d,0.002419096,0.019063761,0.017938109,0.000719616
May-16,Spring,3,d,0.538327104,4.075534668,3.991809461,0.160137752
May-16,Spring,3,d,0.001916194,0.014264395,0.014208984,0.000570016
May-16,Spring,3,o,0.30708645,2.629957672,2.593956971,0.086203568
